@relation SerieA

@attribute homeTeam {Atalanta,Bologna,Cagliari,Chievo,Crotone,Empoli,Fiorentina,Genoa,Inter,Juventus,Lazio,Milan,Napoli,Palermo,Pescara,Roma,Sampdoria,Sassuolo,Torino,Udinese}
@attribute awayTeam {Atalanta,Bologna,Cagliari,Chievo,Crotone,Empoli,Fiorentina,Genoa,Inter,Juventus,Lazio,Milan,Napoli,Palermo,Pescara,Roma,Sampdoria,Sassuolo,Torino,Udinese}
@attribute homeGoalFT numeric
@attribute awayGoalFT numeric
@attribute resultFT {H,A}
@attribute homeGoalHT numeric
@attribute awayGoalHT numeric
@attribute homeShot numeric
@attribute awayShot numeric
@attribute homeShotTarget numeric
@attribute awayShotTarget numeric
@attribute homeCorner numeric
@attribute awayCorner numeric
@attribute homeFouls numeric
@attribute awayFouls numeric
@attribute homeYellow numeric
@attribute awayYellow numeric
@attribute homeRed numeric
@attribute awayRed numeric
@attribute differenceGoalHT numeric
@attribute pctHShot numeric

@data
Lazio,Cagliari,4,1,H,3,0,19,14,12,5,4,10,6,6,2,3,0,0,3,0.575758
Napoli,Empoli,2,0,H,0,0,35,7,10,2,11,8,7,9,1,2,0,0,0,0.833333
Pescara,Atalanta,0,1,A,0,0,5,13,0,3,2,8,18,22,3,3,0,0,0,0.277778
Sassuolo,Roma,1,3,A,1,0,16,16,3,5,5,11,12,10,3,0,0,0,1,0.5
Palermo,Udinese,1,3,A,1,1,11,11,2,7,3,4,15,15,2,2,1,0,0,0.5
Bologna,Fiorentina,0,1,A,0,1,5,12,2,5,2,5,8,17,3,3,1,0,-1,0.294118
Juventus,Napoli,2,1,H,0,0,10,12,3,2,3,4,11,10,4,1,0,0,0,0.454545
Atalanta,Genoa,3,0,H,2,0,15,10,9,2,3,3,12,14,1,2,0,0,2,0.6
Crotone,Chievo,2,0,H,1,0,9,16,7,3,4,5,19,21,1,2,0,0,1,0.36
Empoli,Roma,0,0,H,0,0,8,23,3,5,4,8,18,13,6,3,0,0,0,0.258065
Lazio,Sassuolo,2,1,H,0,0,14,14,6,5,10,4,17,11,2,1,0,0,0,0.5
Milan,Pescara,1,0,H,0,0,18,14,9,6,5,5,11,14,1,2,0,0,0,0.5625
Sampdoria,Inter,1,0,H,1,0,9,14,3,3,4,5,15,14,1,3,0,0,1,0.391304
Cagliari,Palermo,2,1,H,0,0,8,12,4,3,2,4,19,16,5,3,0,0,0,0.4
Udinese,Torino,2,2,H,0,1,16,13,5,3,4,4,13,19,2,3,0,0,-1,0.551724
Napoli,Lazio,1,1,H,0,0,18,7,8,3,9,2,12,15,0,2,0,0,0,0.72
Torino,Cagliari,5,1,H,3,1,23,10,9,7,5,4,15,10,1,2,0,1,2,0.69697
Chievo,Juventus,1,2,A,0,0,9,17,2,6,2,4,20,14,5,4,0,0,0,0.346154
Fiorentina,Sampdoria,1,1,H,1,0,20,17,5,6,11,2,18,14,3,2,0,0,1,0.540541
Genoa,Udinese,1,1,H,1,1,16,10,4,3,3,1,15,12,2,1,0,0,0,0.615385
Inter,Crotone,3,0,H,0,0,25,4,9,0,18,4,9,10,1,2,0,0,0,0.862069
Palermo,Milan,1,2,A,0,1,15,12,7,6,6,5,23,14,2,1,0,0,-1,0.555556
Pescara,Empoli,0,4,A,0,3,22,9,7,6,8,1,15,11,2,2,0,0,-3,0.709677
Roma,Bologna,3,0,H,1,0,22,13,8,5,3,6,18,9,1,0,0,0,1,0.628571
Sassuolo,Atalanta,0,3,A,0,3,15,15,3,8,3,7,10,19,4,2,0,0,-3,0.5
Chievo,Cagliari,1,0,H,0,0,12,11,2,2,5,9,17,18,3,3,0,0,0,0.521739
Juventus,Pescara,3,0,H,1,0,14,9,5,3,5,1,11,15,0,2,0,0,1,0.608696
Udinese,Napoli,1,2,A,0,0,7,10,3,4,4,7,9,7,1,0,0,0,0,0.411765
Atalanta,Roma,2,1,H,0,1,21,9,6,5,10,6,15,14,1,2,0,0,-1,0.7
Bologna,Palermo,3,1,H,1,1,8,8,4,4,4,6,15,15,1,1,0,0,0,0.5
Crotone,Torino,0,2,A,0,0,15,16,5,4,6,5,11,6,1,1,0,0,0,0.483871
Empoli,Fiorentina,0,4,A,0,1,13,24,6,13,5,4,7,12,1,3,0,0,-1,0.351351
Lazio,Genoa,3,1,H,1,0,16,12,4,3,3,5,14,20,1,3,0,1,1,0.571429
Milan,Inter,2,2,H,1,0,10,21,4,6,1,8,16,14,2,4,0,0,1,0.322581
Sampdoria,Sassuolo,3,2,H,0,0,22,11,8,5,9,1,17,17,4,3,0,0,0,0.666667
Empoli,Milan,1,4,A,1,1,15,16,4,6,2,6,11,17,2,3,0,0,0,0.483871
Torino,Chievo,2,1,H,2,0,16,10,4,3,10,2,13,10,2,1,0,1,2,0.615385
Bologna,Atalanta,0,2,A,0,1,9,14,2,2,6,9,15,12,5,2,0,0,-1,0.391304
Cagliari,Udinese,2,1,H,1,0,7,20,3,5,3,4,16,19,4,3,0,0,1,0.259259
Crotone,Sampdoria,1,1,H,1,0,9,15,3,6,2,6,17,15,3,0,0,0,1,0.375
Genoa,Juventus,3,1,H,3,0,12,12,6,2,3,6,26,8,3,2,0,0,3,0.5
Palermo,Lazio,0,1,A,0,1,17,18,4,6,4,5,11,18,3,1,1,0,-1,0.485714
Roma,Pescara,3,2,H,2,0,14,14,7,7,8,7,20,21,3,3,0,0,2,0.5
Inter,Fiorentina,4,2,H,3,1,22,12,9,6,7,2,28,15,5,3,0,1,2,0.647059
Napoli,Sassuolo,1,1,H,1,0,20,4,6,1,9,3,14,12,3,4,0,0,1,0.833333
Napoli,Inter,3,0,H,2,0,19,18,11,6,5,7,7,12,2,3,0,0,2,0.513514
Juventus,Atalanta,3,1,H,2,0,12,7,7,2,6,4,25,18,3,2,0,0,2,0.631579
Fiorentina,Palermo,2,1,H,1,0,19,7,7,2,7,6,16,22,2,2,0,0,1,0.730769
Lazio,Roma,0,2,A,0,0,11,7,2,4,6,3,21,14,4,3,1,0,0,0.611111
Milan,Crotone,2,1,H,1,1,12,9,4,5,7,4,22,19,4,4,0,0,0,0.571429
Pescara,Cagliari,1,1,H,0,1,19,6,2,2,8,2,20,18,2,2,0,1,-1,0.76
Sampdoria,Torino,2,0,H,0,0,13,14,2,3,5,2,10,20,1,4,0,0,0,0.481481
Sassuolo,Empoli,3,0,H,2,0,12,14,6,3,2,7,20,10,4,6,0,0,2,0.461538
Chievo,Genoa,0,0,H,0,0,7,9,2,0,5,8,9,19,2,3,0,0,0,0.4375
Udinese,Bologna,1,0,H,0,0,19,7,9,1,5,0,10,17,3,0,0,1,0,0.730769
Crotone,Pescara,2,1,H,1,0,8,6,4,3,1,4,18,20,1,3,1,1,1,0.571429
Sampdoria,Lazio,1,2,A,0,2,10,10,5,7,2,5,9,15,2,4,0,0,-2,0.5
Atalanta,Udinese,1,3,A,0,1,18,6,9,3,11,0,11,12,1,2,0,0,-1,0.75
Bologna,Empoli,0,0,H,0,0,22,3,3,1,7,2,14,17,2,4,0,0,0,0.88
Cagliari,Napoli,0,5,A,0,2,6,23,3,11,2,10,17,10,4,3,0,0,-2,0.206897
Inter,Genoa,2,0,H,1,0,13,10,3,4,5,5,13,18,1,2,0,0,1,0.565217
Palermo,Chievo,0,2,A,0,1,15,9,3,3,8,3,10,16,1,1,0,0,-1,0.625
Torino,Juventus,1,3,A,1,1,9,17,2,8,4,3,23,19,1,2,0,0,0,0.346154
Fiorentina,Sassuolo,2,1,H,2,0,14,16,6,5,5,5,23,12,3,1,0,0,2,0.466667
Roma,Milan,1,0,H,0,0,14,8,4,4,8,4,13,23,1,2,0,0,0,0.636364
Genoa,Fiorentina,1,0,H,1,0,9,9,4,3,4,3,24,14,3,2,0,0,1,0.5
Empoli,Cagliari,2,0,H,1,0,7,9,2,2,3,2,23,17,6,5,0,0,1,0.4375
Juventus,Roma,1,0,H,1,0,7,10,6,2,5,8,16,17,3,5,0,0,1,0.411765
Milan,Atalanta,0,0,H,0,0,11,14,3,4,6,3,23,28,3,6,0,0,0,0.44
Chievo,Sampdoria,2,1,H,2,0,13,21,5,6,3,10,10,15,1,2,0,0,2,0.382353
Genoa,Palermo,3,4,A,1,1,14,13,6,4,5,5,14,18,3,5,1,0,0,0.518519
Lazio,Fiorentina,3,1,H,2,0,11,13,5,6,5,5,16,20,1,5,0,0,2,0.458333
Napoli,Torino,5,3,H,3,0,21,10,10,5,4,3,6,14,0,3,0,0,3,0.677419
Pescara,Bologna,0,3,A,0,2,7,18,1,8,1,7,13,16,1,2,1,0,-2,0.28
Sassuolo,Inter,0,1,A,0,0,11,20,4,6,3,8,14,18,1,3,0,1,0,0.354839
Udinese,Crotone,2,0,H,1,0,14,9,8,4,5,4,10,19,0,4,0,1,1,0.608696
Atalanta,Empoli,2,1,H,0,0,30,3,10,1,14,2,16,10,3,4,0,0,0,0.909091
Inter,Lazio,3,0,H,0,0,11,10,6,4,6,3,15,11,2,2,0,0,0,0.52381
Cagliari,Sassuolo,4,3,H,1,2,18,12,10,4,5,4,13,18,3,3,0,1,-1,0.6
Fiorentina,Napoli,3,3,H,0,1,15,9,5,8,3,2,14,7,5,3,0,0,-1,0.625
Palermo,Pescara,1,1,H,1,0,5,11,2,2,1,8,14,16,4,5,0,0,1,0.3125
Roma,Chievo,3,1,H,1,1,25,6,9,2,9,1,9,13,0,2,0,0,0,0.806452
Sampdoria,Udinese,0,0,H,0,0,14,11,3,3,6,2,11,10,1,1,0,0,0,0.56
Torino,Genoa,1,0,H,0,0,10,15,5,4,5,13,19,13,2,4,0,0,0,0.4
Empoli,Palermo,1,0,H,0,0,6,13,2,4,6,2,13,17,1,3,0,0,0,0.315789
